t # 8627
v 0 2
v 1 3
v 2 2
v 3 2
v 4 2
v 5 3
v 6 2
v 7 2
v 8 3
v 9 2
v 10 2
v 11 3
v 12 2
v 13 2
v 14 2
v 15 5
v 16 5
v 17 5
v 18 2
v 19 2
v 20 2
v 21 5
v 22 2
v 23 3
v 24 2
v 25 2
v 26 2
v 27 2
v 28 3
v 29 2
v 30 2
v 31 3
v 32 2
v 33 2
v 34 2
v 35 3
v 36 2
v 37 2
v 38 3
v 39 2
v 40 5
v 41 5
v 42 2
v 43 2
v 44 2
v 45 2
v 46 3
v 47 5
v 48 2
v 49 2
v 50 3
v 51 2
v 52 3
v 53 2
v 54 2
v 55 3
v 56 2
v 57 3
v 58 2
v 59 2
v 60 2
v 61 3
v 62 2
v 63 2
v 64 5
v 65 5
v 66 5
v 67 5
v 68 5
v 69 5
v 70 3
v 71 2
v 72 2
v 73 2
v 74 3
v 75 2
v 76 2
v 77 3
v 78 2
v 79 3
v 80 3
v 81 3
v 82 2
v 83 2
v 84 2
v 85 2
v 86 2
v 87 5
v 88 2
v 89 2
v 90 2
v 91 5
v 92 5
v 93 5
v 94 2
v 95 3
v 96 2
v 97 2
v 98 3
v 99 5
v 100 3
v 101 5
v 102 5
v 103 2
v 104 2
v 105 2
v 106 2
v 107 2
v 108 5
v 109 5
v 110 5
v 111 2
v 112 2
v 113 2
v 114 2
v 115 2
v 116 2
v 117 2
v 118 2
v 119 5
v 120 5
v 121 5
v 122 2
v 123 2
v 124 2
v 125 2
v 126 2
v 127 2
v 128 2
v 129 3
v 130 2
v 131 5
v 132 2
v 133 2
v 134 2
v 135 2
v 136 2
v 137 2
v 138 3
v 139 2
v 140 2
v 141 2
v 142 3
v 143 2
v 144 2
v 145 3
v 146 2
v 147 3
v 148 3
v 149 3
v 150 2
v 151 3
v 152 2
v 153 2
v 154 5
v 155 2
v 156 2
v 157 2
v 158 2
v 159 3
v 160 2
v 161 2
v 162 2
v 163 2
v 164 2
v 165 5
v 166 5
v 167 2
v 168 3
v 169 2
v 170 2
v 171 5
v 172 5
v 173 2
v 174 2
v 175 2
v 176 2
v 177 2
v 178 2
v 179 2
v 180 3
v 181 5
v 182 2
v 183 2
v 184 2
v 185 5
v 186 2
v 187 2
v 188 2
v 189 2
v 190 5
v 191 5
v 192 5
v 193 2
v 194 2
v 195 2
v 196 3
v 197 5
v 198 5
v 199 5
v 200 5
v 201 5
v 202 2
v 203 3
v 204 2
v 205 5
v 206 2
v 207 3
v 208 2
v 209 2
v 210 3
v 211 3
v 212 2
v 213 5
e 0 1 3
e 0 2 2
e 0 15 2
e 2 3 2
e 2 102 2
e 3 18 2
e 4 5 3
e 4 6 2
e 4 93 2
e 6 96 2
e 6 15 2
e 7 8 3
e 7 9 2
e 7 16 2
e 9 19 2
e 9 93 2
e 10 11 3
e 10 12 2
e 10 17 2
e 12 89 2
e 12 16 2
e 13 14 2
e 13 68 2
e 13 81 3
e 14 84 2
e 14 17 2
e 18 100 3
e 18 101 2
e 19 94 2
e 19 95 2
e 20 26 2
e 20 209 2
e 20 68 2
e 21 24 2
e 21 26 2
e 22 23 3
e 22 200 2
e 22 24 2
e 24 25 2
e 25 42 2
e 25 43 2
e 26 210 3
e 27 28 3
e 27 29 2
e 27 185 2
e 29 188 2
e 29 200 2
